ITEM #,COUNT,VESSEL NAME,FIRST OIL MONTH,FIRST OIL YEAR,FPSO OWNER,FPSO OPERATOR,FIELD OPERATOR (MAJORITY),"1.0- FOO/FOM, 2=FOO/CM, 3. CO/CM, 4. CO/FOM",LEASED (L) FPSO (CONTRACTOR OWNED),CURRENT LEASE PERIOD (YRS.),OPERATING WATER DEPTH (M),FIELD or LOCATION,COUNTRY,REGION,RESERVES (MMBOE),TOPSIDES DETAILING ENG.,HULL DETAIL ENG.,GENERAL CONTRACTOR (EPCI),TOPSIDES FAB YARD,NEW BUILD HULL FAB YARD,CONVERSION / INTEGRATION,REPAIR,TURRET SUPPLIER/SWIVEL MANUFACTURER,TOTAL WELLS,PRODUCTION WELLS,GAS INJECTION WELLS,WATER INJECTION WELLS,CLASSIFICATION,LENGTH (M),BREADTH (M),DEPTH (M),MAX OPERATING DRAFT (M),"HULL CONSTRUCTION DH-DOUBLE HULL, SH-SINGLE HULL, DS-DOUBLE SIDED",DEADWEIGHT (DWT) (Tonnes),CONSTRUCTION TYPE (CONVERSION or NEWBUILD),ORIGINAL HULL FABRICATION YEAR,LATEST INTEGRATION/ UPGRADE YEAR,MAX OIL PRODUCTION (MBOPD),GAS PROCESSING (MMscfd),EQUIVALENT THROUGHPUT (MBOE/D),GAS INJECTION (MMscfd),GAS EXPORT & GAS LIFT (MMscfd),MAX WATER PRODUCTION (MBPD),PRODUCED WATER (MBWPD),WATER INJECTION (MBWPD),STORAGE CAPACITY (MBBLs),TOTAL RISERS,QUARTERS CAPACITY (PEOPLE),"GAS DEPOSITION
F-FLARED, S-SALES, L-LIFT","TYPE OF FLARE
FB-FLARE BOOM OR FLARE TOWER,
GF-GROUND FLARE, FF-FLOATING FLARE","OFFLOADING SYSTEM
TS-TANDEM STERN, TB-TANDEM BOW, TC-TO CALM BUOY, SS-SIDE BY SIDE","MOORING SYSTEM TYPE IT-INTERNAL TURRET, ET-EXTERNAL TURRET, SM-SPREAD MOORED, RTM- RISER TURRET MOORING, SALS-SINGLE ANCHOR LEG SYSTEM, CALM-CATENARY ANCHOR LEG MOORING, JSY-JACKET SOFT YOKE, DP - DYNAMIC POSITIONING, STP - SUBMERGED TURRET PRODUCTION, S- STEEL",PERMANENT or DISCONNECTABLE,NUMBER OF ANCHOR LEGS,ITEM #
127,1,CIDADE DE MARICA,2,2016,SBM Offshore & JV partner,SBM Offshore,Petrobras,3,L,20,"2,120",Lula Alto,Brazil,Brazil,"12,000",SBM Offshore,SBM  Offshore,SBM Offshore,Jotal (CH) - DME (SG) -Brasa/EBSE (BR),,Chengxi Shipyard (CXG),,N/A,16,9,7,,ABS,319,58,32,23,DH,"308,492",C,1999,2015,150,220,187,212,155,120,40,200,"1,600",55,140,S/L,FT,TS,SM,p,24,127
128,1,CIDADE DE PARATY,6,2013,SBM Offshore & JV Partner,SBM Offshore,Petrobras,3,L,20,"2,120",Lula NE Field,Brazil,Brazil,"8,300",SBM Offshore,SBM Offshore,SBM Offshore,Various,,"Keppel, BrasFELS",,N/A,15,,,,ABS,322,56,29,,,"240,214",C,,2013,150,210,185,,,,,150,"1,500",33,,,FT,,SM,P,,128
129,1,CIDADE DE SAQUAREMA,7,2016,SBM Offshore and JV partners,SBM Offshore & JV Partner,Petrobras,3,L,20,"2,130",Lula Central,Brazil,Brazil,"12,000",SBM Offshore,SBM Offshore,SBM Offshore,Jotal (CH) - DME (SG) - Brasa/EBSE (BR),,Chengxi Shipyard (CXG),,N/A,,,,,ABS,319,58,32,23,DH,"308,492",C,1999,2015,150,220,187,212,155,120,40,200,"1,600",55,140,S/L,FT,TS,SM,P,24,129
130,1,ESPIRITO SANTO (BC-10),7,2009,SBM Offshore & JV partner,SBM Offshore & MISC (JV),Shell,3,L,15,"1,780","BC-10, Parque das Conchas - Abalone, Ostras, Nautilus, Argonauta",Brazil,Brazil,,SBM Offshore,SBM Offshore,SBM Offshore,Various,,Keppel,,SBM Offshore,9,9,1,,ABS,331,57,28,22,DH,"392,000",C,1975,2008,100,45,108,30,45,,130,75,"2,067",21,100,"S, L, I",FT,TS,IT,P,9,130
131,1,KIKEH,8,2007,SBM Offshore & MISC (JV),SBM Offshore & MISC (JV),Murphy Oil Sabah,3,L,8,"1,350",Kikeh,Malaysia,SCS,,SBM Offshore,SBM Offshore,SBM Offshore,Various,,MMHE,,SBM Offshore,35,18,1,16,ABS,337,55,27,21,SH,"273,000",C,1974,2007,120,,120,141,,,130,292,"2,179",10,118,"S, L, I",FT,TS,ET,P,10,131
132,1,MONDO,1,2008,SBM Offshore/Sonangol (Sonasing),SBM Offshore/Sonangol (OPS),ExxonMobil,3,L,15,728,"Mondo, Block 15",Angola,W Africa,,SBM Offshore,SBM Offshore,SBM Offshore,Various,,Keppel,,SBM Offshore,17,,,,ABS,370,54,27,21,SH,"273,000",C,1975,2006,100,,100,95,95,,,125,"2,140",12,100,"L,I",FT,TS,ET,P,9,132
133,1,N'GOMA,11,2014,SBM Offshore & Sonangol (Sonasing),SBM Offshore & Sonangol (OPS),ENI,3,L,12,"1,250",Block 15-06,Angola,W Africa,,SBM Offshore,SBM Offshore,SBM Offshore,,,Keppel,,SBM Offshore,13,7,3,3,,,,,,SH,"255,900",C,,2014,100,115,119,100,70,,,110,"1,963",16,,,FT,,ET,P,,133
134,1,SAXI-BATUQUE (KIZOMBA C),7,2008,SBM Offshore & Sonangol (Sonasing),SBM Offshore & Sonangol (OPS),ExxonMobil,3,L,15,720,"Saxi & Batuque, Block 15",Angola,W Africa,,SBM Offshore,SBM Offshore,SBM Offshore,Various,,Keppel,,SBM Offshore,20,9,5,10,ABS,369,56,29,22,SH,"311,000",C,1977,2007,105,150,130,150,150,,,150,"2,431",13,100,"L,I",FT,TS,ET,P,9,134
135,1,TURRITELLA,9,2016,SBM Offshore & Partners,SBM Offshore & Partners,Shell,3,L,10,"2,900",Stones,US GOM,GOM,,SBM Offshore,SBM Offshore,SBM Offshore,Dynamac/EOL,,Keppel,,SBM Offshore,8,8,,,ABS,274,48,24,17,DH,"159,113",C,2003,2015,60,15,63,,,,,,800,8,120,S,FT,TS,BTM,D,9,135
136,1,CRYSTAL OCEAN,8,2012,Sea Production Ltd,Blue Marine,PEMEX,3,L,,170,Litorial Tabasco area,Mexico,GOM,,,,,Kvaerner Govan,Kvaerner Govan,,,,,,,,DNV,101,21,12,9,,"8,700",N,1999,,40,,40,32,,,,,42,,40,"L, F",,,,,3,136
137,1,GOLIAT,3,2016,Sevan,ENI Norge,ENI,4,L,,400,"Goliat, Barents Sea",Norway,N Sea,,Sevan Marine,Sevan Marine,Sevan Marine,,,,,,,,,,,107,107,107,31,,"71,000",N,2014,,100,39,106.5,4,,,,,"1,000",25,120,,FB,,SM,P,14,137
138,1,BONGA,11,2005,Shell,Shell,Shell,1,,,"1,250",Bonga,Nigeria,W Africa,"1,000",KBR/HES,,AMEC,AMEC,Samsung,Samsung,,,16,,,,LRS,305,58,32,23,DS,"312,500",N,2005,,170,100,187,,100,,,,"1,400",,63,S,FB,TS,SM,P,,138
139,1,CURLEW,7,2002,Shell,Shell,Shell,1,,,92,"Curlew, Kyle",UK,N Sea,98,AMEC,Odense Steel,Maersk,AMEC,,Keppel,A&P Group,SBM Offshore,4,,,,LR,236,40,20,15,DS,"99,800",C,1983,1997,45,116,64,,110,33,38,,560,7,60,"S, F",FT,TS,"IT, SM",P,9,139
140,1,FLUMINENSE FPSO,8,2003,Shell,MODEC,Shell,2,,,740,"Bijupira, Salema",Brazil,Brazil,201,MODEC/Alliance Engr.,MODEC,MODEC,MODEC/Delta,,Jurong,Jurong,SOFEC,17,11,,,ABS,411,60,28,16,DH,"355,000",C,1974,2003,70,75,83,75,,50,,92,"1,300",15,108,S,FB,TS,ET,P,9,140
141,1,SEA EAGLE (EA FPSO),1,2003,Shell,Shell,Shell,1,,,375,EA (OML 79),Nigeria,W Africa,394,KBR,Samsung,KBR,Sembawang,Samsung,Sembawang,,SBM Offshore,20,,,,LR,274,50,28,20,DS,"207,000",N,2002,,200,600,300,530,,,,,920,22,116,S,FB,TS,JSY,P,12,141
142,1,ANASURIA,10,1996,Shell/Exxon (50/50),Shell,Shell,1,,,89,"Teal, Teal South, Guillemot A, Cook",UK,N Sea,119,Stork Protech,Mitsubishi HI,SBM Offshore,AMEC,Mitsubishi,Mitsubishi,,SBM Offshore,12,7,,5,LR,226,45,24,17,DH,"131,666",N,1996,,225,65,236,,150,,,300,"2,000",,69,,FB,CB,IT,P,,142
143,1,ÅSGARD A,5,1999,Statoil,Statoil,Statoil/Saga,1,,,300,Åsgard,Norway,N Sea,"2,000",Aker/ABB,Maritime Tentech,Aker Stord,Aker Stord,Hitachi,Hitachi,,SBM Offshore,57,,,,DNV,278,45,27,19,DH,"177,808",N,1998,2010,200,,200,,,,,,920,,,,,,,,,143
144,1,NORNE,,1997,Statoil,Statoil,Statoil,1,,,380,Norne,Norway,N Sea,,Kvaerner Rosenberg,Tentech,Aker Kvaerner,Kvaerner Rosenberg,Keppel FELS,Keppel,,Kvaerner Rosenberg/SBMO,19,,,,DNV,260,41,25,19,DH,"10,000",N,1997,,225,530,313,,,,,,"2,000",,240,,,,SM,P,,144
145,1,PEREGRINO,4,2011,Statoil,BW Offshore,Statoil,2,L,5,100,Peregrino,Brazil,Brazil,500,J Ray McDermott,Cosco Dalian,Maersk,,,Keppel,,APL,37,30,,7,LR,345,58,31,21,DH,"277,450",C,2008,2010,100,13,102,,12,,233,300,"1,600",6,100,"F,L",FB,TB,IT,D,10,145
146,1,CIDADE DE ITAJAI,2,2013,Teekay / Odebrecht,Teekay Petrojarl,Petrobras,3,L,7,250,Bauna & Piracaba Fields,Brazil,Brazil,,,,,,,Jurong,,,10,5,1,4,ABS,266,43,20,,DH,"91,468",C,1985,2012,80,,80,,,,76,96,650,34,70,L,,,SM,,16,146
147,1,HUMMINGBIRD SPIRIT,9,2008,Teekay Petrojarl,Wood Group,Centrica,3,L,,120,Chestnut,UK,N Sea,235,Sevan Marine (Kanfa),Sevan Marine,Sevan Marine,,Yantai Raffles,,,NA,2,1,,1,DNV,65,,27,18,,"40,000",N,2007,,25,,25,,,,25,20,270,10,44,,,,SM,P,12,147
148,1,PETROJARL 1,2H,2017,Teekay Petrojarl,Teekay Petrojarl,QGEP,3,L,5,"1,560",Atlanta Field,Brazil,Brazil,260,,,,Damen Schiedam,,Damen Shiprepair,,,,,,,DNV,215,32,,,DH,"20,800",C,1986,2016,30,9,32,,,,6,,180,9,68,,,,ET,,,148
149,1,PETROJARL BANFF (Ramform),,1997,Teekay Petrojarl,Teekay Petrojarl,CNR,3,L,,95,Banff and Kyle Fields,UK,N Sea,,Aker Maritime,PGS,Aker Kvaerner,Aker Maritime,,Keppel,Aker McNulty,TenTech,,,,,DNV,120,54,21,13,DH,"31,498",C,1997,2001,90,7,91,72,,120,,89,120,,60,,,,IT,P,10,149
150,1,PETROJARL CIDADE de RIO das OTRAS,3,2008,Teekay Petrojarl,Petrobras,Petrobras,4,L,,77,Tartaruga Verde,Brazil,Brazil,,,,,,,AG Weser,,,,,,,DNV,197,32,16,12,DH,"45,574",C,1981,2007,25,,25,,,,12,,214,8,60,,,TB,,,12,150
151,1,PETROJARL FOINAVEN,11,1997,Teekay Petrojarl,Teekay Petrojarl,BP,3,L,,454,"Foinaven, Foinaven East",UK,N Sea,395,McDermott Int'l,Astano/Golar-Nor,Golar-Nor,Ast y Tallered del Noroeste,Astano,,,"FMC, Astano/Brown Brothers",22,,,,DNV,250,34,13,,DH,"43,276",C,1989,2008,140,,140,100,,165,120,165,202,15,70,I,GF,TS,IT,P,10,151
152,1,PETROJARL KNARR,3,2015,Teekay Offshore,Teekay,BG Group,3,L,,410,Knarr Field,Norway,N Sea,80,,,Samsung,,Samsung,,,,,,,,DNV,256,48,,,DH,"135,000",N,2014,,63,47,71,,,,84,95,800,15,100,,,,ET,,,152
153,1,PETROJARL VARG,,1999,Teekay Petrojarl,Teekay Petrojarl,Repsol,3,L,,84,Varg,Norway,N Sea,,ABB,Maritime Tentech/Keppel,Keppel,Various,Keppel,Keppel,,Keppel FELS/Kabelschlepp Metool,,,,,DNV,214,38,21,16,DH,"60,000",N,1998,2002,57,53,66,,,,57,100,470,10,77,,GF,,IT,P,10,153
154,1,PIONEIRO DE LIBRA FPSO,2H,2017,Teekay / Odebrecht,Teekay/Odebrecht,Petrobras,3,L,12,"2,000",Libra,Brazil,Brazil,12,Technip,Sembmarine,Sembmarine,Jurong,,Jurong,,LMC/OneSubsea,,,,,,310,42,,,,"136,596",C,1995,2016,50,4,51,,,,,,650,,,,,,ET,,,154
155,1,PIRANEMA SPIRIT (Sevan Piranema),10,2007,Teekay Petrojarl,Sevan Marine,Petrobras,3,L,11,"1,600",Piranema,Brazil,Brazil,76,Sevan Marine (Kanfa),Sevan Marine,Sevan Marine,Sevan Marine,Yantai Raffles,,,NA,6,3,,3,DNV,65,,27,18,DH,"13,000",N,2006,,25,127,46,,,,20,,250,25,63,,FB,,SM,P,9,155
156,1,VOYAGEUR SPIRIT,4,2013,Teekay Offshore,Voyageur LLC (Teekay Corp),E.ON Ruhrgas UK E&P,3,L,,89,Huntington,UK,N Sea,,,Sevan Marine,Sevan Marine,Keppel Verolme,Yantai Raffles,,Nymo,,,,,,DNV,66,,27,18,DH,"45,145",N,2007,2012,30,38,36,,,,42,48,270,10,54,S,FB,,SM,P,12,156
157,1,PETROLEO NAUTIPA,9,2002,Tinworth/PTE,BW Offshore,Vaalco Energy,3,L,18,142,Etame,Gabon,W Africa,23,GSI,BW Offshore,BW Offshore,BW Offshore/GSI,,Keppel,,,4,4,,,DNV,256,44,23,16,SH,"141,330",C,1975,2002,30,3,31,,,10,10,,"1,080",18,70,F,FB,TS,SM,P,8,157
158,1,ECO III,8,2010,TMM,Marecsa,PEMEX,3,L,,300,Campeche,Mexico,GOM,,,,,,,,,,,,,,ABS,135,21,10,7,,"10,306",C,,,15,32,20,,,,,,55,,54,,,,DP,,,158
159,1,TOISA PISCES,1,2002,Toisa Horizon,Secunda Marine,PEMEX,3,L,,,,Mexico,GOM,,,,Maresca,,,Ulstein Verft AS,,,,,,,DNV,104,23,9,7,DH,"7,200",C,1997,2004,20,36,26,,,4,,,24,,70,,,,DP,,,159
160,1,AKPO,3,2009,Total,Total,Total,1,,,"1,350","Akpo OPL 246, OML-130",Nigeria,W Africa,620,Technip,Technip,Technip  & HHI JV,HHI,HHI,,,,44,22,2,20,BV,310,61,,,DH,"337,000",N,2008,,240,282,287,280,,360,,375,"2,000",14,120,"I, L",FT,TS,SM,P,12,160
161,1,CLOV,6,2014,Total,Total,Total,1,,,"1,400","Block 17 - Acacia, Hortensia, Perpetua & Zinia",Angola,W Africa,500,KBR,Daewoo Shipbuilding,Daewoo Shipbuilding,,Daewoo Shipbuilding,,,,34,,,,,305,61,,,DH,"214,000",N,2013,---,160,230,198,,,,,,"1,800",,,,,,,,,161
162,1,DALIA,12,2006,Total,Total,Total,1,,,"1,360",Dalia Block 17,Angola,W Africa,940,Technip-Saipem JV,,Technip,Stolt Offshore JV,DSME/ Samsung,Samsung,,,71,34,,,ABS,322,56,29,,,"265,243",C,,,35,,35,,,,,,"2,000",14,52,F,FB,TC,SM,P,12,162
163,1,FARWAH,9,2003,Total,Exmar,Total,2,,,91,Al Jurf Block C137,Libya,W Africa,148,Doris Engr.,Izar,Exmar Offshore,SMCO/MECI,Izar,Izar,,LMC/Rolls-Royce,3,3,,,ABS,94,22,6,,,"5,214",C,,,200,150,225,,,,350,,"1,900",,,,,,SM,,,163
164,1,GIRASSOL,12,2001,Total,Total,Total,1,,,"1,400","Girassol, Jasmim Block 17, Rosa (Future)",Angola,W Africa,700,Mar Profundo Girassol,HHI,Mar Profundo Girassol,HHI,HHI,HHI,,,40,18,2,12,BV,300,60,31,23,DS,"345,000",N,1999,,60,90,75,56,,72,,79,"2,000",4,140,"I, S",FB,TC,SM,P,16,164
165,1,PAZFLOR,8,2011,Total,Total,Total,1,,,"600-1,200","Block 17 - Acacia, Hortensia, Perpetua & Zinia",Angola,W Africa,,KBR,DSME,DSME,,DSME,,,,49,25,2,22,,325,61,32,,DS,"396,000",N,2010,,160,177,190,,,,,,"2,000",17,,,,TC,SM,P,16,165
166,1,USAN,2,2012,Total,Total,Total,1,,,700-850,OML 138,Nigeria,W Africa,500,HHI,HHI,HHI,HHI,HHI,,,,42,23,10,9,BV,320,61,32,25,DH,"381,000",N,2006,,180,35,186,185,,,100,135,"2,000",7,180,"F,L",FB,TC,SM,P,16,166
167,1,KWAME NKRUMAH MV21,11,2010,Tullow Oil,MODEC,Tullow Oil,2,,,"1,100",Tano Basin,Ghana,W Africa,300,MODEC,,MODEC,Various,,Jurong,,SOFEC / Framo Eng,17,9,2,6,ABS,359,59,30,20,SH,"261,212",C,1991,2010,123,160,150,160,160,85,,230,"1,600",11,120,"I, L",FB,TS,ET,P,9,167
168,1,BA VI,2,1994,Vietsovpetro,Vietsovpetro,Vietsovpetro,1,,,48,Dragon Block 9/16,Vietnam,SCS,,,,SBM Offshore,,,Keppel,Keppel,SBM Offshore,,,,,,,,,,SH,"154,000",C,,1994,100,,100,,,,10,,"1,100",2,28,,,,CALM SY,,,168
169,1,CHI LINH,,1985,Vietsovpetro,Vietsovpetro,Vietsovpetro,1,,,50,White Tiger,Vietnam,SCS,,SBM Offshore,,,,,Keppel,Keppel,SBM Offshore,,,,,,,,,,SH,"150,000",C,,1984,70,,70,,,,,,975,2,28,,,,CALM SY,P,,169
170,1,RUBY II,3,2009,VOFT (JV MISC/PTSC),VOFT,PCVL,3,L,8,49,Blocks 01 & 02,Vietnam,SCS,140,DPS,,,MMHE,,MMHE,MMHE,MMHE,,,,,,245,41,22,,SH,"95,091",C,1990,2007,45,12,47,,12,,13,,745,8,80,,,,ET,P,9,170
171,1,NGUJIMA-YIN,8,2008,Woodside,Woodside,Woodside,1,,,340,Vincent,Australia,Aust,73,Maersk Contractors,,Maersk Contractors,Vetco Aibel,,Keppel,,APL / Buoy System,11,,,,LR,261,58,31,23,DH,"308,490",C,1999,2008,120,100,137,,,250,,230,"1,900",14,80,,FT,TS,IT,D,9,171
172,1,NORTHERN ENDEAVOUR,,1999,Woodside,Woodside,Woodside,1,,,380,"Laminaria, Corallina",Australia,Aust,209,Kvaerner-SBM Consortium,Samsung,Kvaerner-SBM Consortium,United Const/Sembawang,Samsung,Samsung,,SBM Offshore,6,5,1,,LR,273,50,28,19,DS,"177,529",N,1999,,180,60,190,20,40,126,40,,"1,400",8 (21),84,"I, L",FT,TS,IT,P,9,172
173,1,OKHA,9,2011,Woodside,Woodside,Woodside,1,,,78,"Cossack , Wanaea, Lambert",Australia,Aust,,SBMO,SBMO,SBMO,SBMO,,Keppel,,SBM Offshore,10,,,,,274,48,,,,"158,000",C,,2009,30,,30,,80,100,,,925,7,,,FB,TS,RTM,D,,173
174,1,NGANHURRA,7,2006,Woodside/Mitsui,Woodside,Woodside,1,,,400,Enfield,Australia,Aust,145,AMEC/Fluor,Samsung,,Samsung,Samsung,Samsung,,SBM Offshore,13,5,2,6,,260,46,26,18,DH,"150,000",N,2006,,100,80,113,40,40,125,,135,900,7 (11),80,I + L,FT,TS,RTM,D,9,174
175,1,ADOON,10,2006,Yinson Holdings,Yinson Holdings,Addax /Sinopec,3,L,5,37,Antan,Nigeria,W Africa,,,,,,,DDD,,,,,,,DNV,207,54,26,19,,"239,781",C,1985,2006,70,10,72,,,,,,"1,700",,,,,"TS,TC",SM,,,175
176,1,ALLAN,5,2009,Yinson Holdings,Yinson Holdings,CNRL,3,L,,100,Olowi,Gabon,W Africa,,,,Saipem,Lamprell,,DDD,,,,,,,DNV,274,44,24,17,,"145,242",C,1980,2009,35,85,49,,,,,,"1,300",,,,,T,SM,,,176
177,1,JOHN AGYEKUM KUFUOR,5,2017,Yinson Holdings,Yinson Holdings,ENI,3,L,20,"1,000",Sankofa/Gye Nyame,Ghana,W Africa,,,,,,,Keppel,,,18,,,,,333,60,,,DH,,C,,2017,58,210,93,150,,,,55,"1,400",18,,,,,SM,,,177
178,1,AL ZAAFARANA,11,1994,Zaafarana Oil Company,Aker,Zaafarana Oil Co.,2,,,60,Zaafarana Block BN 1,Egypt,Others,41,GSI,Kawasaki Dockyard,Prosafe,GSI,,Jurong,Intelligent/Engr./Keppel,Prosafe,15,11,,4,DNV,260,40,21,16,SH,"127,000",C,1969,1994,10,35,16,,,35,35,,800,7,55,"S, F",FT,TS,"IT, SM",P,9,178
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
