ITEM #,COUNT,VESSEL NAME,FIRST OIL MONTH,FIRST OIL YEAR,FPSO OWNER,FPSO OPERATOR,FIELD OPERATOR (MAJORITY),"1.0- FOO/FOM, 2=FOO/CM, 3. CO/CM, 4. CO/FOM",LEASED (L) FPSO (CONTRACTOR OWNED),CURRENT LEASE PERIOD (YRS.),OPERATING WATER DEPTH (M),FIELD or LOCATION,COUNTRY,REGION,RESERVES (MMBOE),TOPSIDES DETAILING ENG.,HULL DETAIL ENG.,GENERAL CONTRACTOR (EPCI),TOPSIDES FAB YARD,NEW BUILD HULL FAB YARD,CONVERSION / INTEGRATION,REPAIR,TURRET SUPPLIER/SWIVEL MANUFACTURER,TOTAL WELLS,PRODUCTION WELLS,GAS INJECTION WELLS,WATER INJECTION WELLS,CLASSIFICATION,LENGTH (M),BREADTH (M),DEPTH (M),MAX OPERATING DRAFT (M),"HULL CONSTRUCTION DH-DOUBLE HULL, SH-SINGLE HULL, DS-DOUBLE SIDED",DEADWEIGHT (DWT) (Tonnes),CONSTRUCTION TYPE (CONVERSION or NEWBUILD),ORIGINAL HULL FABRICATION YEAR,LATEST INTEGRATION/ UPGRADE YEAR,MAX OIL PRODUCTION (MBOPD),GAS PROCESSING (MMscfd),EQUIVALENT THROUGHPUT (MBOE/D),GAS INJECTION (MMscfd),GAS EXPORT & GAS LIFT (MMscfd),MAX WATER PRODUCTION (MBPD),PRODUCED WATER (MBWPD),WATER INJECTION (MBWPD),STORAGE CAPACITY (MBBLs),TOTAL RISERS,QUARTERS CAPACITY (PEOPLE),"GAS DEPOSITION
F-FLARED, S-SALES, L-LIFT","TYPE OF FLARE
FB-FLARE BOOM OR FLARE TOWER,
GF-GROUND FLARE, FF-FLOATING FLARE","OFFLOADING SYSTEM
TS-TANDEM STERN, TB-TANDEM BOW, TC-TO CALM BUOY, SS-SIDE BY SIDE","MOORING SYSTEM TYPE IT-INTERNAL TURRET, ET-EXTERNAL TURRET, SM-SPREAD MOORED, RTM- RISER TURRET MOORING, SALS-SINGLE ANCHOR LEG SYSTEM, CALM-CATENARY ANCHOR LEG MOORING, JSY-JACKET SOFT YOKE, DP - DYNAMIC POSITIONING, STP - SUBMERGED TURRET PRODUCTION, S- STEEL",PERMANENT or DISCONNECTABLE,NUMBER OF ANCHOR LEGS,ITEM #
37,1,SANHA LPG FPSO,4,2005,Chevron,Chevron,Chevron,1,,,58,Sanha-Bomboco,Angola,W Africa,,SBMO,SBMO,SBMO,Various,IHI,IHI,,SBM Offshore,,,,,ABS,264,49,29,13,DH/DS,"94,000",N,2001,,,125,21,,,,,,362,4,90,,FB,SS,ET,P,9,37
38,1,TANTAWAN EXPLORER,2,1997,Chevron,Chevron,Chevron,1,,,74,Tantawan,Thailand,SCS,,SBMO/Alliance Engr.,SBM Offshore,SBM Offshore,Various,,Sembawang,,SBM Offshore,,,,,ABS,284,43,21,16,SH,"136,960",C,1976,1996,50,150,75,,150,25,25,,"1,000",7,100,S,FB,TS,ET,P,6,38
39,1,BOHAI SHI JI (BOHAI CENTURY),10,2001,CNOOC,CNOOC,CNOOC,1,,,20,Quinhuangdao 32-6,China,SCS,155,COOEC,MARIC,Dalian,COOEC/Dalian,Dalian,Dalian,Dalian,SOFEC,163,,,,DNV,101,21,12,,,"8,346",C,,,12,3,13,,,3,,,390,,47,,,TS,JSY,P,,39
40,1,BOHAI YOU YI HAO,11,2004,CNOOC,CNOOC,CNOOC,1,,,22,Bozhong 28-1,China,SCS,191,NATCO,SBM Offshore,,NATCO,Hudong,Hudong,,SBM Offshore,,,,,ABS,290,51,24,,,"190,000",C,1977,2011,70,,70,,,,,,"1,100",4,110,,,TS,T,P,,40
41,1,HAI YANG SHI YOU 102,12,2007,CNOOC,CNOOC,CNOOC,1,,,20,Bozhong 34/1,China,SCS,83,,Bohai Oil Corp./SBM,,MHI,Shanghai Hudong,Hudong,,SBM Offshore,,,,,CCS,215,31,18,,,"53,071",C,,1990,12,3,13,,,3,,,390,,,F,FB,TS,JSY,D,,41
42,1,HAI YANG SHI YOU 111,10,2003,CNOOC,CNOOC,CNOOC,1,,,110,"Panyu 4/2, 5/1",China,SCS,90,Shang Hai 708 Institute,,CNOOC/Nanhai West Oil Corp.,,Waigaogiao,Waigaigiao,,APL,26,,,,CCS,262,46,24,17,DS,"150,000",N,2002,,72,15,75,19,,,,160,"1,000",,130,,FB,TS,SAL Yoke,D,,42
43,1,HAI YANG SHI YOU 112,7,2004,CNOOC,CNOOC,Anadarko,1,,,24,"Caofein 11-1, 11-2, 11-3, 11-5",China,SCS,81,CNOOC,Dalian,,CNOOC Engr.,Dalian,Dalian,,APL,33,,,,DNV,277,51,24,16,D,"159,064",N,2003,,80,45,88,43,,72,,,820,9,63,S,FB,TS,ET,D,6,43
44,1,HAI YANG SHI YOU 113,8,2004,CNOOC,Chevron,CNOOC,1,,,22,Bozhong 25-1,China,SCS,300,CNOOC,Shanghai,,CNOOC Engr.,Waigaogiao,Shanghai Jiangan,,SBM Offshore,84,,,,DNV,272,51,21,14,D,"150,000",N,2003,,190,,190,,,,,,"1,800",,,,,,SAL Yoke,D,,44
45,1,HAI YANG SHI YOU 117,5,2009,CNOOC,ConocoPhillips,ConocoPhillips,1,,,25,Penglai Block 19-3 (Phase 2),China,SCS,500,Fluor,MDRI of China,,Sembawang / SMOE,Waigaogiao,Waigaigiao,,Bluewater,,,,,DNV,323,63,29,,,"286,480",N,2008,,190,,190,,,,,,"2,000",,,,,,IT,D,,45
46,1,HAI YANG SHI YOU 118,8,2014,CNOOC,CNOOC,CNOOC,1,,,330,"Enping 24-2, Pearl River",China,SCS,,,,,,Dalian Shipbuilding,,,,,,,,DNV,267,,51,,DH,,N,2014,,56,,56,,,,,,"1,800",,,,,,,,,46
47,1,NAN HAI ENDEAVOR (FEN JIN HAO),7,2002,CNOOC,CNOOC,CNOOC,1,,,120,"Wenchang 13-1, 13-2",China,SCS,3,,,,,,,,APL,,,,,BV,262,46,25,,,"153,675",C,,2002,80,,80,,,,,60,"1,000",4,,,GF,,IT,D,,47
48,1,NAN HAI FA XIAN,11,1994,CNOOC,CNOOC,CACT,1,,,100,Huizhou 19-3-1,China,SCS,,SBMO,,SBMO,,,Sembawang,,SBM Offshore,,,,,ABS,349,52,26,20,SH,"254,012",C,1976,1989,80,6,81,,,,50,60,"1,600",3,90,I,GF,TS,IT,D,,48
49,1,WENCHANG II (HAI YANG SHI YOU 116),7,2008,CNOOC,CNOOC,CNOOC,1,,,135,Wenchang,China,SCS,83,COOEC,,,,Qingdao Beihai,Qingdao Beihai,,APL,26,,,,CCS,217,46,24,,,"120,000",N,2006,,100,,100,,,,,,700,1,,,,,IT,D,9,49
